                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.70574,                0.83379,                0.94945,                0.72864,                0.78179,                0.82572,                0.65728,                0.97241,                  1.256,                 1.1229,                0.00307,                0.00307,                0.00307
                     72,                 0.7292,                0.83919,                0.95383,                0.72864,                0.78179,                0.82572,                0.65728,                0.97241,                  1.256,                 1.1229,               0.002971,               0.002971,               0.002971
                     73,                0.71313,                0.84064,                0.98512,                0.79572,                0.78792,                0.82101,                0.65667,                0.92602,                 1.2478,                 1.1043,               0.002872,               0.002872,               0.002872
                     74,                0.67975,                0.74822,                0.95401,                0.79572,                0.78792,                0.82101,                0.65667,                0.92602,                 1.2478,                 1.1043,               0.002773,               0.002773,               0.002773
                     75,                0.66171,                 0.7855,                0.93771,                0.70895,                0.82111,                0.82802,                0.66196,                0.92138,                 1.2188,                 1.1069,               0.002674,               0.002674,               0.002674
                     76,                0.69284,                0.79894,                0.93017,                0.70895,                0.82111,                0.82802,                0.66196,                0.92138,                 1.2188,                 1.1069,               0.002575,               0.002575,               0.002575
                     77,                0.69069,                0.82952,                0.93883,                0.71106,                0.84553,                0.83497,                0.63187,                0.98065,                 1.2197,                 1.1305,               0.002476,               0.002476,               0.002476
                     78,                0.67502,                0.77375,                0.93378,                0.71106,                0.84553,                0.83497,                0.63187,                0.98065,                 1.2197,                 1.1305,               0.002377,               0.002377,               0.002377
                     79,                0.70827,                0.79969,                0.94476,                 0.7442,                 0.8468,                0.84436,                0.64375,                0.96525,                 1.1656,                 1.1245,               0.002278,               0.002278,               0.002278
                     80,                0.61381,                0.72104,                0.90614,                 0.7442,                 0.8468,                0.84436,                0.64375,                0.96525,                 1.1656,                 1.1245,               0.002179,               0.002179,               0.002179
                     81,                 0.7269,                0.87553,                 1.0289,                0.71185,                0.87075,                0.85855,                0.68499,                0.90113,                  1.123,                 1.0814,                0.00208,                0.00208,                0.00208
                     82,                0.65736,                0.89427,                0.96098,                0.71185,                0.87075,                0.85855,                0.68499,                0.90113,                  1.123,                 1.0814,               0.001981,               0.001981,               0.001981
                     83,                0.69257,                0.81977,                 0.9292,                0.72214,                0.86837,                 0.8632,                0.68072,                0.89821,                 1.0941,                 1.0757,               0.001882,               0.001882,               0.001882
